name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,3/22/2020,8.3,2.1,4.9,5.5,-3.4,1,-6.5,44.8,0,0,0,,0,0,44.1,27.5,55.4,1036.7,55.5,16,196.6,16.9,7,,2020-03-22T06:55:10,2020-03-22T19:10:53,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,3/23/2020,5.6,3.8,4.2,5.6,-1.9,0.1,1.3,82.3,14.264,100,50,rain,0,0,46.7,34.1,52,1026.9,89.9,12.4,25.1,2.1,1,,2020-03-23T06:53:30,2020-03-23T19:11:57,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,3/24/2020,14.2,3.3,8,14.2,0.1,6.8,1.7,66.4,0,0,0,,0,0,38.9,20,15.3,1019.5,19.6,16,245.5,21.1,8,,2020-03-24T06:51:51,2020-03-24T19:13:00,0,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,3/25/2020,7.2,5.6,6.5,3.9,1.4,2.9,1.9,72.5,0.019,100,4.17,rain,0,0,49.7,34.7,39.1,1018.6,64.8,16,62.2,5.5,2,,2020-03-25T06:50:11,2020-03-25T19:14:04,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,D8219,F1417,72503014732"
New York,3/26/2020,15.5,4.3,8.7,15.5,1,7.4,1.6,62,0,0,0,,0,0,27.7,20,73.6,1015.8,1.5,16,243.2,20.8,8,,2020-03-26T06:48:32,2020-03-26T19:15:07,0.02,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,3/27/2020,21,10,14.3,21,10,14.3,3.2,53,0,0,0,,0,0,33.5,14.5,246.1,1011.2,33.2,16,241.6,20.9,9,,2020-03-27T06:46:53,2020-03-27T19:16:10,0.04,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,3/28/2020,12.8,7.8,9.5,12.8,4.1,7.5,2.7,66.2,0.672,100,41.67,rain,0,0,37.1,25.6,41.6,1018.9,58.5,14.3,34.2,2.7,2,,2020-03-28T06:45:14,2020-03-28T19:17:13,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,3/29/2020,8.3,7.2,7.9,5.5,2.7,4.3,6.8,92.8,0.108,100,29.17,rain,0,0,44.7,34.9,33.1,1014.1,100,6.5,31,2.9,1,,2020-03-29T06:43:35,2020-03-29T19:18:16,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,3/30/2020,10,6.6,8.3,10,3.6,6.9,6,85.3,0.075,100,4.17,rain,0,0,42.5,21.5,62.1,1014.1,91.9,15.7,82.8,7.2,3,,2020-03-30T06:41:56,2020-03-30T19:19:19,0.15,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,3/31/2020,7.9,5.6,6.7,7.2,1.5,4.5,3.4,79.7,0.103,100,8.33,rain,0,0,31.7,23.7,79.8,1016.2,93.3,15.1,58.2,5.2,3,,2020-03-31T06:40:17,2020-03-31T19:20:22,0.2,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
